exit_price,exit_reason,impulse_state,market_session,pnl,price,range_position,ret_1,ret_15,ret_5,shape_bias,shape_score,side,snapshot_id,timestamp,timing_state,trade_id,trend,volatility_mode
88321.0,bar_close,chop,US,-146.3265790455095,88321.0,extreme_high,-0.0018759817826347373,0.007735928710792647,0.0017921350226285404,bear,0.25,long,475,1764685080.0,normal,0,up,low
88809.0,bar_close,chop,US,2.5964006716926225,88809.0,extreme_high,3.3781501249915544e-05,0.0060036928374811675,0.0014546684709066306,bear,0.25,long,493,1764686160.0,normal,1,up,low
89226.0,bar_close,chop,US,62.08673903386572,89226.0,extreme_high,0.0008075913587724611,0.005261438276681801,0.002866102437873015,bull,0.25,long,516,1764687540.0,normal,2,up,low
90435.0,bar_close,chop,US,-184.33825477270025,90435.0,extreme_high,-0.0023827646688949927,0.0038072192869511167,-0.0013803003533568905,bear,0.25,long,535,1764688680.0,normal,3,up,low
90450.0,bar_close,grinding_up,US,68.05378797662503,90450.0,extreme_high,0.00089632506722438,0.0010292506391314453,0.003561561761475219,bull,0.25,long,558,1764690060.0,normal,4,up,low
90812.0,bar_close,chop,US,-100.05700275510597,90812.0,extreme_high,-0.0013086846070097106,0.0023731470136980253,-0.002054967637007,none,0.0,long,574,1764691020.0,normal,5,up,low
90936.0,bar_close,grinding_up,US,46.63116408226622,90936.0,extreme_high,0.0006161971830985916,0.002668313229100051,0.00408541836892432,bull,0.25,long,631,1764694440.0,normal,6,up,low
91050.0,bar_close,chop,US,58.5047357148204,91050.0,extreme_high,0.0007693998681028798,0.004080282311424791,0.002819569575082054,bull,0.25,long,633,1764694560.0,normal,7,up,low
92123.0,bar_close,chop,US,19.933969592477602,92123.0,extreme_high,0.00026058914863353564,0.0019250429599982598,0.0025029109943085982,bull,0.25,long,761,1764702240.0,normal,8,up,low
90780.0,bar_close,chop,US,-31.228698587267225,90780.0,high,-0.00040741270907429224,-0.005684618670522131,-0.00022026431718061675,none,0.0,long,859,1764708120.0,normal,9,up,low
91272.0,bar_close,chop,ASIA,-83.63637033057903,91272.0,high,-0.0009304158411506507,0.0016681299385425813,0.002020024591603724,bull,0.25,long,1100,1764722580.0,cautious,10,up,low
92297.0,bar_close,chop,ASIA,-219.61901368707228,92297.0,extreme_high,-0.0024641988651715753,-0.0001841540828043417,0.001508279259532542,bear,0.25,long,1182,1764727500.0,cautious,11,up,low
92786.0,bar_close,grinding_up,ASIA,163.66012677149035,92786.0,extreme_high,0.0018788062022200146,0.0070547885734132156,0.005995684841651036,none,0.0,long,1190,1764727980.0,cautious,12,up,low
92917.0,bar_close,grinding_up,US,18.64849424329776,92917.0,high,0.00024759403190733524,-0.0015259136676731965,0.004736210382897739,bull,0.25,long,1962,1764774300.0,normal,13,up,low
92321.0,bar_close,grinding_down,US,24.53033148134209,92321.0,high,0.0003250587814629812,-0.0009306654257794323,-0.004496538635726455,none,0.0,long,1973,1764774960.0,normal,14,up,low
92934.0,bar_close,chop,US,21.171980858516164,92934.0,high,0.00027984673009859214,-0.0024259338772005153,-0.0012573749879098558,none,0.25,long,2316,1764795540.0,normal,15,up,low
93602.0,bar_close,grinding_up,ASIA,-49.52748666420773,93602.0,extreme_high,-0.0005552352275396673,0.0068303806727118225,0.0032153651583031444,none,0.25,long,2572,1764810900.0,cautious,16,up,low
