entry_price,impulse_state,leverage,market_session,price,range_position,ret_1,ret_15,ret_5,shape_bias,shape_score,side,size,snapshot_id,timestamp,timing_state,trade_id,trend,volatility_mode
90576.0,grinding_down,1.6,US,90576.0,mid,-0.002060310919647874,-0.006275507965067802,-0.0042325831949956575,none,0.0,short,0.7065889418830595,4745,1764941280.0,normal,0,up,low
90132.0,grinding_down,1.6,US,90132.0,mid,-0.0010086119947241834,-0.002390755744454775,-0.004385335085994543,none,0.0,short,0.7000351279721928,4816,1764945540.0,normal,1,up,low
89978.0,grinding_down,1.6,US,89978.0,mid,-0.0012875441205851667,-0.005163358947426613,-0.0041062989075695356,none,0.0,short,0.7031253717298955,4818,1764945660.0,normal,2,up,low
89252.0,chop,1.6,US,89252.0,mid,-0.0013873970640887934,-0.01151818544278563,-0.0024477204904382426,none,0.0,short,0.6968954660251044,4909,1764951120.0,normal,3,up,low
89033.0,chop,1.95,US,89033.0,mid,-0.0003817350982967878,-0.012937915742793791,-0.0024537265271366467,bear,0.25,short,0.8515526340759437,4914,1764951420.0,normal,4,up,low
89147.0,chop,1.6,US,89147.0,mid,-0.0009077867933832429,-0.010588117778936972,-0.001925682105710991,none,0.0,short,0.6858951698689912,4916,1764951540.0,normal,5,up,low
89245.0,chop,1.6,US,89245.0,mid,0.0016161434776265137,-0.0025259581316851272,0.002381139577460043,none,0.0,short,0.6861749231793531,4919,1764951720.0,normal,6,up,low
89048.0,chop,1.6,US,89048.0,mid,0.0002920626362022871,-0.002229766826896142,-0.0012673702627830554,none,0.0,short,0.6922300423806191,4927,1764952200.0,normal,7,up,low
88747.0,grinding_down,1.95,US,88747.0,mid,-0.0014514604617669562,-0.004486970958080474,-0.0030891240367549593,none,0.25,short,0.8547302004752704,4931,1764952440.0,normal,8,up,low
88695.0,chop,1.6,US,88695.0,mid,0.00042861815761868776,-0.0024406154399856037,0.001072234762979684,none,0.0,short,0.6930937404690274,4970,1764954780.0,normal,9,up,low
88827.0,chop,1.95,US,88827.0,mid,0.0006872000540747583,-0.0003488712327533818,0.001849700551526567,none,0.25,short,0.845400294057898,4976,1764955140.0,normal,10,up,low
88986.0,chop,1.6,US,88986.0,mid,0.001789996284913371,0.0017787184221191516,0.0025123080562847134,none,0.0,short,0.6827547655779012,4977,1764955200.0,normal,11,up,low
88767.0,chop,1.95,US,88767.0,mid,7.886435331230284e-05,0.0018848758465011286,1.1265574656963252e-05,bear,0.25,short,0.8407596298675875,4980,1764955380.0,normal,12,up,low
88869.0,chop,1.95,US,88869.0,mid,0.00043904086457277944,0.0006192717364379489,0.0016229923922231615,bull,0.25,short,0.8313822210397087,4988,1764955860.0,normal,13,up,low
88772.0,chop,1.95,US,88772.0,mid,-0.0011252137906202179,-0.0011701696746028174,-0.0010914942218321348,bear,0.25,short,0.8143934481274614,4993,1764956160.0,normal,14,up,low
88979.0,chop,1.6,US,88979.0,mid,0.0015420634384637896,0.002862778247393632,0.002331816338485108,none,0.0,short,0.6640297605398982,4998,1764956460.0,normal,15,up,low
89109.0,chop,2.3,US,89109.0,mid,0.0011122345803842265,0.0027006042602032206,0.0014610188920981355,bull,0.5,short,1.0378958078162346,5003,1764956760.0,normal,16,up,low
89230.0,grinding_up,1.95,US,89230.0,mid,0.0013578875310013578,0.001301703436048208,0.0031027272522876994,bull,0.25,short,0.797482940902909,5004,1764956820.0,normal,17,up,low
89389.0,chop,2.3,US,89389.0,mid,0.001781911913033733,0.006440208518639449,0.001781911913033733,bull,0.5,short,1.0297845488859836,5009,1764957120.0,normal,18,up,low
89288.0,chop,1.95,US,89288.0,mid,-0.0011298929398471848,0.005370956300458277,0.001806411076329283,none,0.25,short,0.8132264680483418,5010,1764957180.0,normal,19,up,low
89294.0,grinding_down,1.95,US,89294.0,mid,-0.0014649147330164942,-0.0017439910564561207,-0.0033039401718941847,bear,0.25,short,0.8104013862915765,5037,1764958800.0,normal,20,up,low
89280.0,chop,2.3,US,89280.0,mid,-0.00040306328093510683,-0.0023131851553856984,0.000795883823381049,bear,0.5,short,1.0426791179755701,5049,1764959520.0,normal,21,up,low
89148.0,chop,2.3,US,89148.0,mid,-0.001277139208173691,-0.001635048267520774,-0.002941472525751865,bear,0.5,short,1.042234668223662,5052,1764959700.0,normal,22,up,low
89043.0,chop,1.95,US,89043.0,mid,-0.0007743064907083221,-0.002509325954720109,-0.001726515465766786,bear,0.25,short,0.8094280757385901,5058,1764960060.0,normal,23,up,low
89020.0,chop,2.3,US,89020.0,mid,0.0004720267931398773,-0.003102007906200656,0.00026967504157490225,bear,0.5,short,1.043088305299787,5065,1764960480.0,normal,24,up,low
89151.0,chop,1.95,US,89151.0,mid,0.0014715794203549765,-0.0012435302816428044,0.0010442632890925016,bull,0.25,short,0.8004580397428922,5066,1764960540.0,normal,25,up,low
88979.0,chop,1.6,US,88979.0,mid,-0.0009880202544152155,-0.002444028386604931,-0.0014252687810024016,none,0.0,short,0.6628919453712242,5068,1764960660.0,normal,26,up,low
88927.0,chop,2.3,US,88927.0,mid,-0.0005844075568392542,-0.0007753157445278439,-0.001067151939969895,bear,0.5,short,1.0401014988014212,5075,1764961080.0,normal,27,up,low
88814.0,chop,1.95,US,88814.0,mid,-0.000911187355869284,-0.0037801034200401567,-0.0009561412389340713,bear,0.25,short,0.8148690615757779,5081,1764961440.0,normal,28,up,low
89071.0,chop,1.6,US,89071.0,mid,0.001574254197074136,0.0005279475197699497,0.0024760554186221877,none,0.0,short,0.6645149714779112,5087,1764961800.0,normal,29,up,low
