timestamp,open,high,low,close,volume
1764656640,86858.0,86887.0,86836.0,86845.0,22.609
1764656700,86846.0,86868.0,86827.0,86864.0,16.44325
1764656760,86864.0,86868.0,86857.0,86868.0,6.21177
1764656820,86868.0,86890.0,86826.0,86826.0,4.88655
1764656880,86827.0,86857.0,86826.0,86856.0,13.90477
1764656940,86857.0,86869.0,86838.0,86869.0,0.66834
1764657000,86869.0,86902.0,86865.0,86897.0,11.15144
1764657060,86897.0,86929.0,86894.0,86922.0,1.20888
1764657120,86921.0,86969.0,86914.0,86968.0,42.54502
1764657180,86969.0,87015.0,86967.0,86970.0,9.11472
1764657240,86971.0,87040.0,86971.0,87031.0,15.07683
1764657300,87031.0,87046.0,86984.0,86984.0,12.81835
1764657360,86985.0,86990.0,86980.0,86981.0,1.2255
1764657420,86981.0,87006.0,86974.0,87005.0,15.92713
1764657480,87006.0,87077.0,86989.0,87011.0,94.02074
1764657540,87012.0,87060.0,87010.0,87060.0,12.3776
1764657600,87061.0,87099.0,87061.0,87095.0,6.73331
1764657660,87092.0,87092.0,87050.0,87057.0,2.37928
1764657720,87058.0,87120.0,87058.0,87120.0,10.93305
1764657780,87120.0,87138.0,87104.0,87138.0,17.17879
1764657840,87139.0,87139.0,87100.0,87106.0,8.39977
1764657900,87106.0,87118.0,87078.0,87086.0,5.38823
1764657960,87087.0,87115.0,87077.0,87077.0,10.42191
1764658020,87078.0,87093.0,87071.0,87072.0,8.24632
1764658080,87072.0,87077.0,87050.0,87060.0,4.4022
1764658140,87061.0,87081.0,87060.0,87071.0,2.33978
1764658200,87072.0,87088.0,87058.0,87058.0,5.40387
1764658260,87059.0,87089.0,87059.0,87089.0,1.15114
1764658320,87089.0,87108.0,87048.0,87048.0,4.42598
1764658380,87049.0,87117.0,87048.0,87115.0,4.27
1764658440,87116.0,87116.0,87094.0,87112.0,6.46599
1764658500,87112.0,87117.0,87077.0,87077.0,7.16693
1764658560,87078.0,87079.0,87050.0,87052.0,3.76719
1764658620,87053.0,87053.0,87035.0,87045.0,6.90106
1764658680,87046.0,87074.0,87046.0,87052.0,1.15573
1764658740,87052.0,87056.0,87049.0,87050.0,2.26063
1764658800,87051.0,87064.0,87036.0,87060.0,1.95981
1764658860,87061.0,87070.0,87046.0,87046.0,4.27699
1764658920,87047.0,87065.0,87031.0,87032.0,1.65139
1764658980,87032.0,87032.0,86975.0,86995.0,28.71897
1764659040,86996.0,86996.0,86966.0,86973.0,8.02767
1764659100,86974.0,86974.0,86930.0,86948.0,8.42035
1764659160,86948.0,86948.0,86921.0,86925.0,6.09513
1764659220,86925.0,86941.0,86894.0,86907.0,4.45903
1764659280,86908.0,86908.0,86871.0,86871.0,4.80985
1764659340,86872.0,86875.0,86866.0,86867.0,4.67746
1764659400,86867.0,86896.0,86866.0,86893.0,6.83199
1764659460,86893.0,86962.0,86893.0,86961.0,26.55338
1764659520,86962.0,87001.0,86959.0,86959.0,5.27505
1764659580,86959.0,86959.0,86930.0,86930.0,31.14099
1764659640,86931.0,86937.0,86888.0,86889.0,7.04964
1764659700,86889.0,86903.0,86888.0,86900.0,7.54647
1764659760,86900.0,86906.0,86886.0,86898.0,3.86289
1764659820,86899.0,86916.0,86894.0,86900.0,14.96464
1764659880,86901.0,86919.0,86892.0,86919.0,1.79487
1764659940,86919.0,86930.0,86897.0,86930.0,6.70387
1764660000,86930.0,86947.0,86918.0,86926.0,4.19541
1764660060,86927.0,86947.0,86923.0,86937.0,6.33519
1764660120,86938.0,86945.0,86915.0,86920.0,47.23985
1764660180,86920.0,86920.0,86900.0,86900.0,8.02727
1764660240,86901.0,86904.0,86860.0,86872.0,28.70048
1764660300,86873.0,86873.0,86827.0,86827.0,39.82072
1764660360,86828.0,86901.0,86827.0,86900.0,23.61521
1764660420,86901.0,86901.0,86864.0,86864.0,14.59792
1764660480,86865.0,86882.0,86864.0,86876.0,12.45791
1764660540,86877.0,86880.0,86863.0,86867.0,5.64405
1764660600,86867.0,86915.0,86866.0,86880.0,21.67173
1764660660,86880.0,86897.0,86864.0,86897.0,4.52692
1764660720,86897.0,86910.0,86864.0,86876.0,3.96334
1764660780,86877.0,86927.0,86876.0,86902.0,6.63729
1764660840,86903.0,86903.0,86893.0,86894.0,4.04211
1764660900,86894.0,86909.0,86893.0,86903.0,3.6779
1764660960,86904.0,86904.0,86893.0,86893.0,5.47426
1764661020,86894.0,86984.0,86893.0,86983.0,9.48334
1764661080,86984.0,86984.0,86950.0,86950.0,15.75757
1764661140,86951.0,86960.0,86929.0,86940.0,3.75311
1764661200,86940.0,86940.0,86895.0,86897.0,7.13916
1764661260,86897.0,86962.0,86896.0,86961.0,6.86477
1764661320,86961.0,86971.0,86961.0,86968.0,4.24036
1764661380,86968.0,86968.0,86942.0,86960.0,3.49747
1764661440,86960.0,86960.0,86952.0,86954.0,2.64124
1764661500,86955.0,86983.0,86939.0,86940.0,7.67791
1764661560,86940.0,86974.0,86935.0,86952.0,5.96256
1764661620,86955.0,86985.0,86946.0,86960.0,21.41364
1764661680,86961.0,86976.0,86946.0,86947.0,23.32263
1764661740,86947.0,86971.0,86944.0,86960.0,3.3147
1764661800,86960.0,86992.0,86959.0,86987.0,6.71604
1764661860,86987.0,87021.0,86987.0,87002.0,7.69977
1764661920,87002.0,87002.0,86963.0,86972.0,5.9126
1764661980,86973.0,86992.0,86936.0,86936.0,9.01433
1764662040,86937.0,86999.0,86929.0,86998.0,6.56658
1764662100,86999.0,87016.0,86980.0,86981.0,16.06568
1764662160,86981.0,86981.0,86955.0,86958.0,6.04258
1764662220,86958.0,86981.0,86949.0,86981.0,2.82047
1764662280,86982.0,87000.0,86977.0,86985.0,3.32804
1764662340,86980.0,86980.0,86952.0,86959.0,7.37817
1764662400,86960.0,86996.0,86959.0,86983.0,25.67201
1764662460,86983.0,86990.0,86954.0,86966.0,10.31295
1764662520,86966.0,86991.0,86966.0,86980.0,9.55603
1764662580,86980.0,86984.0,86908.0,86923.0,6.00033
1764662640,86923.0,86965.0,86920.0,86938.0,5.47982
1764662700,86963.0,86983.0,86940.0,86944.0,4.89605
1764662760,86945.0,86945.0,86867.0,86868.0,47.12917
1764662820,86868.0,86915.0,86867.0,86890.0,6.12436
1764662880,86890.0,86893.0,86840.0,86844.0,28.607
1764662940,86845.0,86845.0,86839.0,86840.0,22.83452
1764663000,86840.0,86848.0,86810.0,86841.0,21.78722
1764663060,86842.0,86843.0,86803.0,86810.0,13.53683
1764663120,86811.0,86811.0,86629.0,86630.0,72.32683
1764663180,86630.0,86714.0,86629.0,86712.0,25.94493
1764663240,86713.0,86756.0,86708.0,86712.0,5.49135
1764663300,86712.0,86739.0,86691.0,86718.0,6.21505
1764663360,86719.0,86719.0,86664.0,86665.0,12.56113
1764663420,86665.0,86665.0,86606.0,86621.0,11.84274
1764663480,86621.0,86645.0,86576.0,86576.0,20.76933
1764663540,86577.0,86609.0,86490.0,86499.0,72.84046
1764663600,86500.0,86598.0,86499.0,86595.0,10.81965
1764663660,86596.0,86599.0,86549.0,86585.0,12.52939
1764663720,86586.0,86605.0,86574.0,86601.0,6.35923
1764663780,86602.0,86623.0,86576.0,86623.0,17.18962
1764663840,86624.0,86626.0,86576.0,86593.0,2.23581
1764663900,86593.0,86593.0,86466.0,86478.0,74.79439
1764663960,86479.0,86488.0,86446.0,86488.0,22.76148
1764664020,86488.0,86488.0,86396.0,86433.0,6.19822
1764664080,86438.0,86457.0,86400.0,86404.0,2.36077
1764664140,86405.0,86457.0,86404.0,86441.0,4.02407
1764664200,86441.0,86441.0,86374.0,86374.0,126.50945
1764664260,86374.0,86400.0,86318.0,86400.0,141.70226
1764664320,86400.0,86461.0,86393.0,86460.0,333.08231
1764664380,86461.0,86515.0,86442.0,86467.0,41.03136
1764664440,86467.0,86504.0,86455.0,86484.0,33.782
