side,entry_price,exit_price,size,entry_ts,exit_ts,pnl,return_pct,exit_reason
long,86337.0,86355.0,1.1582519661327124,1764637380.0,1764637440.0,20.848535390388825,0.0020848535390388823,bar_close
long,86334.0,86417.0,1.0651194414039733,1764641700.0,1764641760.0,88.40491363652978,0.008822098580206286,bar_close
long,86450.0,86450.0,1.073074227229748,1764641820.0,1764641880.0,0.0,0.0,bar_close
long,86484.0,86495.0,1.1689160363797835,1764642960.0,1764643020.0,12.858076400177618,0.0012719115674575644,bar_close
long,86413.0,86413.0,1.1713644388491429,1764643800.0,1764643860.0,0.0,0.0,bar_close
long,86805.0,86850.0,1.0700450285573324,1764649020.0,1764649080.0,48.152026285079955,0.004757112798463086,bar_close
long,86661.0,86641.0,1.1735686816113569,1764650400.0,1764650460.0,-23.471373632227138,-0.002307843205132644,bar_close
long,86619.0,86591.0,1.1714279982544191,1764650820.0,1764650880.0,-32.799983951123735,-0.0032325471316916616,bar_close
long,86646.0,86641.0,1.0711487189144857,1764651120.0,1764651180.0,-5.355743594572429,-0.0005295380391613746,bar_close
long,86602.0,86602.0,1.0711254367738714,1764652200.0,1764652260.0,0.0,0.0,bar_close
long,86602.0,86721.0,1.167252078535629,1764652260.0,1764652320.0,138.90299734573986,0.013741022147294519,bar_close
long,86628.0,86610.0,1.182936169354019,1764653100.0,1764653160.0,-21.29285104837234,-0.00207785011774484,bar_close
long,86591.0,86573.0,1.083725226915807,1764654300.0,1764654360.0,-19.507054084484526,-0.0019075477888953272,bar_close
long,86623.0,86645.0,1.17829439557013,1764654420.0,1764654480.0,25.92247670254286,0.0025397411772854783,bar_close
long,86544.0,86529.0,1.182365273092263,1764655620.0,1764655680.0,-17.735479096383944,-0.001733222407099279,bar_close
long,86528.0,86499.0,1.180534224800446,1764655920.0,1764655980.0,-34.23549251921293,-0.0033515162721893497,bar_close
long,86550.0,86521.0,1.176278572828895,1764656040.0,1764656100.0,-34.112078612037955,-0.003350664355863663,bar_close
long,86562.0,86550.0,1.1721747382479666,1764656160.0,1764656220.0,-14.066096858975598,-0.0013862895958965827,bar_close
long,86527.0,86564.0,1.1710232496634658,1764657060.0,1764657120.0,43.32786023754824,0.004276121904145527,bar_close
long,86646.0,86646.0,1.0776989496719556,1764657240.0,1764657300.0,0.0,0.0,bar_close
long,86684.0,86688.0,1.1739006890084236,1764657600.0,1764657660.0,4.695602756033694,0.0004614461723040007,bar_close
long,86720.0,86702.0,1.0772762021893572,1764658500.0,1764658560.0,-19.390971639408427,-0.0019047102235728237,bar_close
long,86504.0,86468.0,0.916222762380867,1764660540.0,1764660600.0,-32.98401944571121,-0.0032460926662350874,bar_close
long,86483.0,86494.0,1.1711158660397456,1764660780.0,1764660840.0,12.882274526437202,0.0012719262745279417,bar_close
long,86500.0,86551.0,1.1723749848321354,1764661020.0,1764661080.0,59.79112422643891,0.005895953757225435,bar_close
long,86548.0,86548.0,1.1786332142885345,1764661320.0,1764661380.0,0.0,0.0,bar_close
long,86557.0,86543.0,1.1785106626875248,1764661620.0,1764661680.0,-16.499149277625346,-0.0016174312880529592,bar_close
long,86575.0,86572.0,1.1763598722202464,1764661800.0,1764661860.0,-3.529079616660739,-0.0003465203580710367,bar_close
long,86787.0,86787.0,1.1730796679376083,1764662400.0,1764662460.0,0.0,0.0,bar_close
