step,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,9999.716968970757
9,9999.716968970757
10,9999.716968970757
11,9999.716968970757
12,9999.716968970757
13,9999.716968970757
14,9999.716968970757
15,9999.716968970757
16,9999.716968970757
17,9999.716968970757
18,10000.685697183306
19,10000.685697183306
20,10000.685697183306
21,10000.685697183306
22,10000.685697183306
23,10000.685697183306
24,10000.685697183306
25,10001.292235619312
26,9999.949746209617
27,9999.949746209617
28,9999.949746209617
29,9999.949746209617
30,10002.247369485402
31,10002.247369485402
32,10004.482734903719
33,10004.084334170991
34,10004.084334170991
35,10004.084334170991
36,10006.133516737647
37,10006.133516737647
38,10003.718924538493
39,10003.718924538493
40,10003.718924538493
41,10003.718924538493
42,10003.718924538493
43,10003.718924538493
44,10003.718924538493
45,10003.718924538493
46,10002.271689904737
47,10002.271689904737
48,10002.271689904737
49,9999.641121180899
50,9999.641121180899
51,9999.641121180899
52,9999.641121180899
53,9999.641121180899
54,9999.641121180899
55,9999.641121180899
56,9999.641121180899
57,9999.641121180899
58,9999.641121180899
59,9999.641121180899
60,9999.641121180899
61,9999.641121180899
62,9999.641121180899
63,9999.641121180899
64,9999.641121180899
65,9999.641121180899
66,9999.641121180899
67,9999.641121180899
68,9999.641121180899
69,9999.641121180899
70,10002.165893374518
71,10004.257448516477
72,10006.740704720747
73,10007.508264559714
74,10010.058477336135
75,10010.058477336135
76,10010.058477336135
77,10010.058477336135
78,10009.079145369147
79,10009.079145369147
80,10009.079145369147
81,10009.079145369147
82,10009.079145369147
83,10009.079145369147
84,10009.079145369147
85,10009.079145369147
86,10009.079145369147
87,10009.079145369147
88,10009.079145369147
89,10009.079145369147
90,10009.079145369147
91,10006.608011338158
92,10006.608011338158
93,10006.608011338158
94,10006.608011338158
95,10006.608011338158
96,10008.05348641235
97,10008.05348641235
98,10008.05348641235
99,10008.05348641235
100,10009.959347638987
101,10009.959347638987
102,10010.14254479994
103,10010.14254479994
104,10009.213800027777
105,10009.213800027777
106,10009.213800027777
107,10009.213800027777
108,10009.213800027777
109,10009.213800027777
110,10009.213800027777
111,10006.532895863642
112,10006.532895863642
113,10006.532895863642
114,10006.532895863642
115,10006.532895863642
116,10006.532895863642
117,10006.532895863642
118,10006.532895863642
119,10006.532895863642
120,10006.532895863642
121,10006.532895863642
122,10006.532895863642
123,10006.532895863642
124,10006.532895863642
125,10006.532895863642
126,10006.532895863642
127,10006.532895863642
128,10006.532895863642
129,10006.532895863642
130,10006.532895863642
131,10009.34418486722
132,10008.6596242308
133,10008.6596242308
134,10008.6596242308
135,10008.6596242308
136,10008.6596242308
137,10008.6596242308
138,10008.6596242308
139,10006.844277464716
140,10006.844277464716
141,10006.844277464716
142,10005.948343005957
143,10005.948343005957
144,10007.269179630497
145,10007.269179630497
146,10009.677987666451
147,10010.454168516819
148,10013.141121944494
149,10015.712962117354
150,10015.712962117354
151,10015.712962117354
152,10015.712962117354
153,10015.712962117354
154,10018.120492223301
155,10018.120492223301
156,10018.120492223301
157,10018.120492223301
158,10018.120492223301
159,10018.120492223301
160,10018.120492223301
161,10018.120492223301
162,10018.120492223301
163,10018.120492223301
164,10018.120492223301
165,10018.120492223301
166,10018.029552108575
167,10018.029552108575
168,10018.029552108575
169,10018.969860522271
170,10018.969860522271
171,10018.969860522271
172,10018.969860522271
173,10018.969860522271
174,10018.969860522271
175,10018.969860522271
176,10018.969860522271
177,10018.969860522271
178,10018.969860522271
179,10016.858017799079
180,10016.858017799079
181,10016.858017799079
182,10016.858017799079
183,10018.551474979497
184,10016.098686494526
185,10016.098686494526
186,10016.098686494526
187,10016.098686494526
188,10016.098686494526
189,10016.098686494526
190,10016.098686494526
191,10014.372972947514
192,10014.372972947514
193,10014.372972947514
194,10014.372972947514
195,10014.372972947514
196,10014.372972947514
197,10014.372972947514
198,10015.755277405857
199,10013.67408414205
200,10013.67408414205
201,10010.985251871904
202,10010.985251871904
203,10010.985251871904
204,10010.985251871904
205,10010.985251871904
206,10010.985251871904
207,10008.265876302448
208,10008.265876302448
209,10008.265876302448
210,10007.541237041756
211,10007.541237041756
212,10004.646118721213
213,10004.646118721213
214,10004.646118721213
215,10004.646118721213
216,10004.646118721213
217,10002.82703415218
